year,age_group,sex,race,pct_diabetes_icd,pct_a1c_65_plus,n_patients,htn,dm,Den,pct_Mass_DPH_dm
Jan 1 – Dec 17 2025,45-54,M,AMERICAN INDIAN/ALASKAN NATIVE,19.5,16.07,641,249,142,532,26.691729323308273
Jan 1 – Dec 17 2025,45-54,M,ASIAN,20.85,17.92,10553,2209,1168,5439,21.474535760250046
Jan 1 – Dec 17 2025,45-54,M,BLACK,22.85,19.25,16162,4670,1970,8331,23.64662105389509
Jan 1 – Dec 17 2025,45-54,M,HISPANIC,22.753957810413887,18.238115531820206,56175,5063,2098,8996,23.32147621164962
Jan 1 – Dec 17 2025,45-54,M,OTHER,17.14,14.35,12046,1268,427,2298,18.58137510879025
Jan 1 – Dec 17 2025,45-54,M,PACIFIC ISLANDER/HAWAIIAN,19.5,18.44,282,74,31,148,20.945945945945947
Jan 1 – Dec 17 2025,45-54,M,WHITE,13.49,10.14,85120,16658,4288,34529,12.41854672883663
Jan 1 – Dec 17 2025,55-64,F,AMERICAN INDIAN/ALASKAN NATIVE,22.26,16.11,894,270,134,438,30.59360730593607
Jan 1 – Dec 17 2025,55-64,F,ASIAN,21.89,19.1,14589,2198,1175,4494,26.14597240765465
Jan 1 – Dec 17 2025,55-64,F,BLACK,32.32,26.68,21200,7335,3493,9856,35.440340909090914
Jan 1 – Dec 17 2025,55-64,F,HISPANIC,28.387567710928582,21.187495539517464,62213,5890,2409,8316,28.968253968253972
Jan 1 – Dec 17 2025,55-64,F,OTHER,18.77,14.3,16356,1123,372,1677,22.182468694096602
Jan 1 – Dec 17 2025,55-64,F,PACIFIC ISLANDER/HAWAIIAN,27.75,20.88,364,87,41,144,28.47222222222222
Jan 1 – Dec 17 2025,55-64,F,WHITE,13.29,8.92,158422,24284,6701,47664,14.058828465928164
Jan 1 – Dec 17 2025,55-64,M,AMERICAN INDIAN/ALASKAN NATIVE,32.01,25.5,753,243,116,383,30.287206266318538
Jan 1 – Dec 17 2025,55-64,M,ASIAN,31.71,27.75,10697,2220,1277,3704,34.47624190064795
Jan 1 – Dec 17 2025,55-64,M,BLACK,36.04,30.05,17408,6028,3043,8067,37.721581752820136
Jan 1 – Dec 17 2025,55-64,M,HISPANIC,34.10875671719811,27.800268478829064,47825,5079,2319,6520,35.56748466257669
Jan 1 – Dec 17 2025,55-64,M,OTHER,26.21,21.49,13884,1094,494,1558,31.70731707317073
Jan 1 – Dec 17 2025,55-64,M,PACIFIC ISLANDER/HAWAIIAN,29.3,24.2,314,62,32,104,30.76923076923077
Jan 1 – Dec 17 2025,55-64,M,WHITE,21,15.73,128995,25438,8281,40499,20.44741845477666
Jan 1 – Dec 17 2025,65-74,F,AMERICAN INDIAN/ALASKAN NATIVE,31.36,20.73,743,190,96,243,39.50617283950617
Jan 1 – Dec 17 2025,65-74,F,ASIAN,33.66,29.03,11817,2161,1201,3225,37.24031007751938
Jan 1 – Dec 17 2025,65-74,F,BLACK,43.76,35.29,17425,6034,3236,7042,45.9528543027549
Jan 1 – Dec 17 2025,65-74,F,HISPANIC,41.755625047323385,31.21700083289165,39621,4007,1825,4590,39.760348583878
Jan 1 – Dec 17 2025,65-74,F,OTHER,25.33,18.65,14396,697,324,891,36.36363636363637
Jan 1 – Dec 17 2025,65-74,F,PACIFIC ISLANDER/HAWAIIAN,35.25,27.46,295,67,36,83,43.373493975903614
Jan 1 – Dec 17 2025,65-74,F,WHITE,17.78,11.81,163066,27075,7486,41650,17.973589435774308
Jan 1 – Dec 17 2025,65-74,M,AMERICAN INDIAN/ALASKAN NATIVE,39.44,27.11,568,160,87,208,41.82692307692308
Jan 1 – Dec 17 2025,65-74,M,ASIAN,41.92,36.85,9044,1890,1127,2538,44.40504334121355
Jan 1 – Dec 17 2025,65-74,M,BLACK,45.5,36.36,12790,3962,2101,4700,44.70212765957447
Jan 1 – Dec 17 2025,65-74,M,HISPANIC,44.03166684342631,34.556490614062994,28287,3004,1446,3266,44.27434170238824
Jan 1 – Dec 17 2025,65-74,M,OTHER,32.81,25.910000000000004,12199,588,295,711,41.49085794655415
Jan 1 – Dec 17 2025,65-74,M,PACIFIC ISLANDER/HAWAIIAN,37.45,31.49,235,56,27,70,38.57142857142858
Jan 1 – Dec 17 2025,65-74,M,WHITE,26.5,19.08,135301,24455,8540,33268,25.67031381507755
Jan 1 – Dec 17 2025,75+,F,AMERICAN INDIAN/ALASKAN NATIVE,34.98,23.25,486,109,52,138,37.68115942028986
Jan 1 – Dec 17 2025,75+,F,ASIAN,40.57,35.45,8624,1447,763,1763,43.27850255246739
Jan 1 – Dec 17 2025,75+,F,BLACK,48.72,38.4,11751,3574,1945,3956,49.165824064711835
Jan 1 – Dec 17 2025,75+,F,HISPANIC,47.79186396741143,35.17583837386331,24303,2390,1155,2478,46.61016949152542
Jan 1 – Dec 17 2025,75+,F,OTHER,29.7,21.46,11354,385,177,449,39.42093541202672
Jan 1 – Dec 17 2025,75+,F,PACIFIC ISLANDER/HAWAIIAN,36.52,30.43,230,36,20,42,47.61904761904761
Jan 1 – Dec 17 2025,75+,F,WHITE,21.96,14.37,149923,23920,6769,29985,22.57462064365516
Jan 1 – Dec 17 2025,75+,M,AMERICAN INDIAN/ALASKAN NATIVE,41.78,31.33,383,88,44,109,40.36697247706422
Jan 1 – Dec 17 2025,75+,M,ASIAN,44.77,38.5,6660,1149,693,1392,49.78448275862069
Jan 1 – Dec 17 2025,75+,M,BLACK,49.83,39.63,6868,1886,1098,2106,52.13675213675214
Jan 1 – Dec 17 2025,75+,M,HISPANIC,49.31575378888593,36.71082491358681,15044,1395,686,1428,48.03921568627451
Jan 1 – Dec 17 2025,75+,M,OTHER,36.49,27.49,8513,214,104,262,39.69465648854962
Jan 1 – Dec 17 2025,75+,M,PACIFIC ISLANDER/HAWAIIAN,37.58,32.48,157,28,13,33,39.39393939393939
Jan 1 – Dec 17 2025,75+,M,WHITE,30.46,20.7,107637,16757,6205,20370,30.461462935689738
