state_name,wisqars_deaths_motor_vehicle_traffic
Alabama,1014.8260869565217
Alaska,77.3913043478261
Arizona,997.2608695652174
Arkansas,614.8695652173913
California,3887.304347826087
Colorado,619.304347826087
Connecticut,299.2173913043478
Delaware,122.91304347826087
District of Columbia,44.56521739130435
Florida,3048.5652173913045
Georgia,1506.0869565217392
Hawaii,115.73913043478261
Idaho,242.43478260869566
Illinois,1227.7391304347825
Indiana,861.0434782608696
Iowa,380.30434782608694
Kansas,430.39130434782606
Kentucky,802.0434782608696
Louisiana,866.0869565217391
Maine,165.34782608695653
Maryland,592
Massachusetts,423.17391304347825
Michigan,1094.695652173913
Minnesota,500.21739130434787
Mississippi,772.0434782608696
Missouri,972.6086956521739
Montana,208.7826086956522
National,39483.47826086957
Nebraska,248.2173913043478
Nevada,344.5217391304348
New Hampshire,124.43478260869566
New Jersey,646.7826086956521
New Mexico,394.69565217391306
New York,1303.2608695652175
North Carolina,1545.4782608695652
North Dakota,109.95652173913044
Ohio,1262.9565217391305
Oklahoma,713.7391304347826
Oregon,457.39130434782606
Pennsylvania,1380.8260869565217
Rhode Island,78.17391304347827
South Carolina,973.5217391304348
South Dakota,148.69565217391303
Tennessee,1153.9130434782608
Texas,3758.2608695652175
Utah,275.69565217391306
Vermont,68.78260869565217
Virginia,880.3913043478261
Washington,637.8695652173913
West Virginia,324.95652173913044
Wisconsin,650.9565217391304
Wyoming,113.04347826086956
