Session Title,Percentage with Has Any Encounters? preceded by Immunizations: MMR receipt within 10 years and Number of Patients by Age at Encounter in Years Range and State of Residence,,,,
Session ID,2776947,,,,
Data Model,Patients,,,,
Population Base,All Patients,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence: Texas AND (Billed Procedures: INITIAL PREVENTIVE MEDICINE NEW PT AGE 5-11 YRS 99383, INITIAL PREVENTIVE MEDICINE NEW PT AGE 1-4 YRS 99382, INITIAL PREVENTIVE MEDICINE NEW PATIENT <1YEAR 99381, PERIODIC PREVENTIVE MED EST PATIENT 5-11YRS 99393, PERIODIC PREVENTIVE MED EST PATIENT 1-4YRS 99392, PERIODIC PREVENTIVE MED ESTABLISHED PATIENT <1Y 99391 OR Encounter Type: Well Child OR Diagnosis (All): Encounter for newborn, infant and child health examinations( ICD-10-CM: Z00.1 )) AND Has Any Encounters?",,,,
Session Date Range,1/1/2018 - 10/30/2025,,,,
Export User,Daniel Weinberger,,,,
Date of Export,1/6/2026,,,,
,,,,,
,,,,,
,,,Measures,Percentage with Has Any Encounters? preceded by Immunizations: MMR receipt within 10 years (%),Number of Patients
Age at Encounter in Years,State of Residence,Year,Month,,
,,2022,Jan,0.64%,39157
,,,Feb,0.62%,36462
,,,Mar,0.76%,42019
,,,Apr,0.67%,38018
,,,May,0.76%,38215
,,,Jun,0.74%,38976
,,,Jul,0.83%,36147
,,,Aug,0.77%,41903
,,,Sep,0.78%,39650
,,,Oct,0.73%,39570
,,,Nov,0.80%,38509
,,,Dec,0.74%,38163
,,2023,Jan,0.63%,42316
,,,Feb,0.61%,38410
,,,Mar,0.84%,43330
,,,Apr,0.71%,37105
,,,May,0.66%,41491
,,,Jun,0.75%,40283
,,,Jul,0.53%,38421
,,,Aug,0.73%,42537
,,,Sep,0.70%,39062
,,,Oct,0.74%,44606
,,,Nov,0.70%,42382
,,,Dec,0.74%,40224
,,2024,Jan,0.67%,47203
,,,Feb,0.65%,43978
,,,Mar,0.64%,44091
,,,Apr,0.76%,46179
,,,May,0.75%,44660
,,,Jun,0.67%,42990
,,,Jul,0.70%,45992
,,,Aug,0.77%,47834
,,,Sep,0.70%,45580
,,,Oct,0.80%,49334
,,,Nov,0.72%,42667
,,,Dec,0.65%,46764
,,2025,Jan,0.65%,49401
,,,Feb,0.67%,45193
,,,Mar,1.09%,48192
,,,Apr,1.37%,47479
,,,May,1.70%,46152
,,,Jun,1.62%,45583
,,,Jul,1.75%,47156
,,,Aug,1.63%,44867
,,,Sep,1.40%,46804
,,,Oct 1 – Oct 30,1.32%,47440
? 1 and < 2 Years,Texas,2018,Jan,70.04%,12599
,,,Feb,69.09%,11234
,,,Mar,72.33%,14916
,,,Apr,72.16%,14600
,,,May,70.86%,14584
,,,Jun,69.40%,12872
,,,Jul,68.58%,13673
,,,Aug,68.10%,15368
,,,Sep,67.77%,13572
,,,Oct,70.52%,15447
,,,Nov,71.29%,14039
,,,Dec,71.71%,12494
,,2019,Jan,71.43%,16297
,,,Feb,71.29%,14367
,,,Mar,72.72%,14335
,,,Apr,72.11%,15459
,,,May,71.59%,14870
,,,Jun,70.32%,13364
,,,Jul,71.01%,15304
,,,Aug,70.12%,15253
,,,Sep,69.26%,14468
,,,Oct,72.25%,15966
,,,Nov,73.12%,13145
,,,Dec,73.33%,14067
,,2020,Jan,72.58%,16829
,,,Feb,71.96%,14393
,,,Mar,72.50%,11803
,,,Apr,66.24%,10275
,,,May,69.30%,14194
,,,Jun,68.25%,15286
,,,Jul,67.39%,14067
,,,Aug,66.97%,14422
,,,Sep,68.30%,15660
,,,Oct,68.77%,16500
,,,Nov,69.90%,14351
,,,Dec,70.53%,15496
,,2021,Jan,69.68%,15896
,,,Feb,68.11%,12945
,,,Mar,70.88%,19578
,,,Apr,71.10%,17871
,,,May,70.85%,15250
,,,Jun,71.09%,17460
,,,Jul,71.07%,16492
,,,Aug,68.60%,16715
,,,Sep,69.94%,16922
,,,Oct,70.26%,17236
,,,Nov,70.23%,16519
,,,Dec,72.01%,15671
,,2022,Jan,71.70%,17037
,,,Feb,70.72%,16518
,,,Mar,71.57%,18721
,,,Apr,70.69%,16905
,,,May,72.45%,16792
,,,Jun,70.40%,16642
,,,Jul,70.73%,15724
,,,Aug,69.09%,19005
,,,Sep,68.51%,17960
,,,Oct,69.59%,17638
,,,Nov,70.68%,16926
,,,Dec,70.55%,16483
,,2023,Jan,71.01%,19314
,,,Feb,69.26%,18059
,,,Mar,71.56%,20395
,,,Apr,71.12%,17543
,,,May,71.76%,18903
,,,Jun,70.33%,18239
,,,Jul,69.01%,17305
,,,Aug,69.30%,20367
,,,Sep,69.44%,18137
,,,Oct,70.77%,19409
,,,Nov,70.52%,18879
,,,Dec,70.53%,17344
,,2024,Jan,69.53%,21642
,,,Feb,70.57%,20570
,,,Mar,72.31%,19367
,,,Apr,71.04%,21739
,,,May,71.49%,20365
,,,Jun,69.23%,18582
,,,Jul,69.10%,20504
,,,Aug,68.63%,22466
,,,Sep,67.45%,20417
,,,Oct,69.19%,22556
,,,Nov,68.73%,18659
,,,Dec,69.99%,20563
,,2025,Jan,69.27%,22919
,,,Feb,68.94%,21210
,,,Mar,71.46%,22576
,,,Apr,72.91%,22438
,,,May,74.94%,21014
,,,Jun,74.80%,20214
,,,Jul,74.85%,21407
,,,Aug,73.21%,21170
,,,Sep,73.33%,22056
,,,Oct 1 – Oct 30,73.13%,21713
,"Total: Total includes all data under the ? 1 and &lt; 2 Years bucket, including data from rows not currently displayed.",2018,Jan,70.04%,12599
,,,Feb,69.09%,11234
,,,Mar,72.33%,14916
,,,Apr,72.16%,14600
,,,May,70.86%,14584
,,,Jun,69.40%,12872
,,,Jul,68.58%,13673
,,,Aug,68.10%,15368
,,,Sep,67.77%,13572
,,,Oct,70.52%,15447
,,,Nov,71.29%,14039
,,,Dec,71.71%,12494
,,2019,Jan,71.43%,16297
,,,Feb,71.29%,14367
,,,Mar,72.72%,14335
,,,Apr,72.11%,15459
,,,May,71.59%,14870
,,,Jun,70.32%,13364
,,,Jul,71.01%,15304
,,,Aug,70.12%,15253
,,,Sep,69.26%,14468
,,,Oct,72.25%,15966
,,,Nov,73.12%,13145
,,,Dec,73.33%,14067
,,2020,Jan,72.58%,16829
,,,Feb,71.96%,14393
,,,Mar,72.50%,11803
,,,Apr,66.24%,10275
,,,May,69.30%,14194
,,,Jun,68.25%,15286
,,,Jul,67.39%,14067
,,,Aug,66.97%,14422
,,,Sep,68.30%,15660
,,,Oct,68.77%,16500
,,,Nov,69.90%,14351
,,,Dec,70.53%,15496
